,mixed,sample_name,1_count_neighbours,1_mean,1_sd,1_percentile_5,1_percentile_25,1_percentile_50,1_percentile_75,1_percentile_95,1_neighbours_snp_0,1_neighbours_snp_1,1_neighbours_snp_2,1_neighbours_snp_3,1_neighbours_snp_4,1_neighbours_snp_5,1_neighbours_snp_6,1_neighbours_snp_7,1_neighbours_snp_8,1_neighbours_snp_9,1_neighbours_snp_10,1_neighbours_snp_11,1_neighbours_snp_12,1_neighbours_snp_13,1_neighbours_snp_14,1_neighbours_snp_15,2_count_neighbour_matrix,2_mean,2_sd,2_percentile_5,2_percentile_25,2_percentile_50,2_percentile_75,2_percentile_95,2_neighbours_snp_0,2_neighbours_snp_1,2_neighbours_snp_2,2_neighbours_snp_3,2_neighbours_snp_4,2_neighbours_snp_5,2_neighbours_snp_6,2_neighbours_snp_7,2_neighbours_snp_8,2_neighbours_snp_9,2_neighbours_snp_10,2_neighbours_snp_11,2_neighbours_snp_12,2_neighbours_snp_13,2_neighbours_snp_14,2_neighbours_snp_15,2_sample_vertex_betweenness
0,False,820:14-11-2020:1,105,1.542857142857143,1.09217999563128,0.0,1.0,2.0,2.0,3.0,24.0,25.0,31.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5565,2.0321653189577717,1.7596014927689965,0.0,0.0,2.0,3.0,5.0,1450.0,1108.0,914.0,796.0,678.0,441.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,False,293:17-04-2021:0,2,1.5,2.1213203435596424,0.15000000000000002,0.75,1.5,2.25,2.8499999999999996,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,
2,False,309:03-08-2020:0,46,2.0869565217391304,0.8647693836836048,0.0,2.0,2.0,3.0,3.0,5.0,0.0,27.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1081,1.0490286771507864,1.318810308472153,0.0,0.0,1.0,1.0,4.0,444.0,389.0,142.0,28.0,26.0,39.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,False,508:19-01-2021:0,51,1.392156862745098,1.3126832271732434,0.0,0.0,1.0,3.0,3.0,21.0,5.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1326,1.9524886877828054,1.8338549534894995,0.0,0.0,2.0,3.0,6.0,410.0,203.0,263.0,184.0,96.0,96.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,False,646:27-12-2020:0,9,3.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.6,1.2135597524338357,0.0,0.0,0.0,0.0,3.0,36.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
5,False,899:31-01-2021:1,27,2.185185185185185,0.878680699731007,1.0,2.0,2.0,3.0,3.0,1.0,5.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378,1.2063492063492063,0.8769139913859814,0.0,1.0,1.0,2.0,3.0,90.0,144.0,120.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,False,172:19-12-2020:0,7,2.5714285714285716,0.7867957924694432,1.3,2.5,3.0,3.0,3.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1.75,0.927960727138337,0.0,1.0,2.0,2.0,3.0,4.0,4.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,False,261:31-03-2021:0,17,2.1176470588235294,0.6966305460192359,1.0,2.0,2.0,3.0,3.0,0.0,3.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,1.9150326797385622,1.0062156330731489,0.0,1.0,2.0,3.0,3.0,12.0,41.0,55.0,38.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,False,380:09-11-2020:0,66,1.5757575757575757,1.1376170243858406,0.0,1.0,1.0,3.0,3.0,12.0,26.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2211,1.6304839439167798,1.742353090099475,0.0,0.0,1.0,3.0,5.0,916.0,239.0,443.0,186.0,285.0,70.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,True,815+886,45,1.2666666666666666,1.1755076272905174,0.0,0.0,1.0,2.0,3.0,16.0,11.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035,2.535265700483092,1.5578660458960738,0.0,1.0,3.0,4.0,5.0,116.0,182.0,208.0,223.0,197.0,85.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7747778395491136
10,False,667:16-02-2021:0,13,2.3846153846153846,0.6504436355879909,1.6,2.0,2.0,3.0,3.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,1.6263736263736264,1.0713268164949237,0.0,1.0,2.0,3.0,3.0,17.0,24.0,26.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,False,297:03-09-2020:0,4,1.0,1.4142135623730951,0.0,0.0,0.5,1.5,2.6999999999999993,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.3,1.4944341180973264,0.0,0.0,1.0,2.5,3.549999999999999,4.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,False,284:17-02-2021:0,17,1.9411764705882353,0.8993461677306268,0.8,1.0,2.0,3.0,3.0,1.0,4.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,1.8431372549019607,1.1591605802364027,0.0,1.0,2.0,3.0,4.0,25.0,32.0,47.0,40.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,False,179:07-02-2021:0,27,2.185185185185185,0.3958473906635696,2.0,2.0,2.0,2.0,3.0,0.0,0.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378,0.2619047619047619,0.6245877761451069,0.0,0.0,0.0,0.0,2.0,311.0,40.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,False,100:06-05-2021:0,21,2.2857142857142856,0.7837638128197258,1.0,2.0,2.0,3.0,3.0,1.0,1.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231,0.8225108225108225,1.0748568028446832,0.0,0.0,0.0,2.0,3.0,131.0,36.0,38.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,False,175:17-03-2021:0,6,3.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1.7142857142857142,1.1892374507581378,0.0,0.0,2.0,3.0,3.0,6.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
16,False,537:23-09-2020:0,7,1.1428571428571428,0.6900655593423543,0.30000000000000004,1.0,1.0,1.5,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.9285714285714286,0.6626865315920033,0.0,0.75,1.0,1.0,2.0,7.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
17,False,342:11-04-2021:0,3,2.3333333333333335,0.5773502691896257,2.0,2.0,2.0,2.5,2.9,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.3333333333333333,1.2110601416389968,0.0,0.25,1.5,2.0,2.75,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,False,612:10-06-2021:0,5,2.6,0.5477225575051661,2.0,2.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1.6,0.9856107606091623,0.0,1.0,2.0,2.0,3.0,2.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,False,723:12-12-2020:0,17,2.176470588235294,0.7276068751089989,1.6,2.0,2.0,3.0,3.0,1.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,1.1372549019607843,0.9871464958831416,0.0,0.0,1.0,2.0,3.0,50.0,47.0,41.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,False,624:02-06-2020:0,7,1.5714285714285714,0.9759000729485332,0.30000000000000004,1.0,2.0,2.0,2.6999999999999993,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1.6071428571428572,0.8317445171439015,0.3500000000000001,1.0,2.0,2.0,3.0,2.0,11.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
21,False,758:01-05-2021:1,21,2.7142857142857144,0.7837638128197258,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231,0.8787878787878788,1.1695522380029268,0.0,0.0,0.0,2.0,3.0,137.0,21.0,37.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
22,False,13:03-02-2021:0,45,2.6,0.7507571935295484,1.0,3.0,3.0,3.0,3.0,0.0,7.0,4.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035,1.6821256038647343,1.633906724214916,0.0,0.0,2.0,3.0,4.0,450.0,32.0,165.0,173.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,False,341:02-10-2020:0,7,0.5714285714285714,0.5345224838248488,0.0,0.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.9285714285714286,0.6626865315920033,0.0,0.75,1.0,1.0,2.0,7.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
24,False,99:21-03-2021:0,19,2.210526315789474,0.976328005472037,0.9,1.5,3.0,3.0,3.0,1.0,4.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,2.0631578947368423,1.1529628390675375,0.0,1.0,2.0,3.0,4.0,18.0,42.0,64.0,42.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,False,182:18-01-2021:0,45,2.6,0.8090398349558905,1.0,3.0,3.0,3.0,3.0,1.0,6.0,3.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035,1.6821256038647343,1.633906724214916,0.0,0.0,2.0,3.0,4.0,450.0,32.0,165.0,173.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
