sample_name,neighbours_count,vertex_betweenness,time_s
820:14-11-2020:1,85,0.0,0.0827488899230957
293:17-04-2021:0,1,0.5,0.005177974700927734
309:03-08-2020:0,31,0.0,0.007358074188232422
508:19-01-2021:0,36,0.0,0.0066144466400146484
646:27-12-2020:0,0,0.5,0.0022537708282470703
899:31-01-2021:1,18,0.0,0.0026738643646240234
172:19-12-2020:0,6,0.5,0.00234222412109375
261:31-03-2021:0,14,0.5,0.0024514198303222656
380:09-11-2020:0,39,0.0,0.0040013790130615234
848+421,147,0.7852061020100107,0.05679631233215332
667:16-02-2021:0,11,0.5,0.0027191638946533203
297:03-09-2020:0,3,0.5,0.002366781234741211
284:17-02-2021:0,19,0.0,0.0026998519897460938
179:07-02-2021:0,20,0.0,0.0026743412017822266
100:06-05-2021:0,11,0.0,0.0023016929626464844
175:17-03-2021:0,1,0.5,0.0021772384643554688
537:23-09-2020:0,8,0.0,0.0022084712982177734
342:11-04-2021:0,0,0.5,0.002175569534301758
612:10-06-2021:0,3,0.0,0.0021524429321289062
723:12-12-2020:0,5,0.5,0.0022420883178710938
624:02-06-2020:0,6,0.5,0.002197742462158203
758:01-05-2021:1,4,0.5,0.002164125442504883
13:03-02-2021:0,1,0.5,0.002199888229370117
341:02-10-2020:0,8,0.0,0.0022084712982177734
99:21-03-2021:0,18,0.5,0.0025360584259033203
182:18-01-2021:0,7,0.5,0.002198457717895508
330:15-12-2020:0,5,0.0,0.0025107860565185547
359:26-01-2021:0,13,0.0,0.0024061203002929688
722:01-05-2021:0,33,0.0,0.0035834312438964844
455:17-04-2021:0,4,0.5,0.002197265625
36:10-02-2021:0,20,0.5,0.003680706024169922
216:04-01-2021:0,28,0.0,0.0030145645141601562
334:20-05-2021:0,23,0.0,0.0027518272399902344
459:20-08-2020:0,2,0.5,0.0021789073944091797
729:11-11-2020:0,1,0.5,0.0021140575408935547
252:19-10-2020:0,42,0.0,0.004224061965942383
547+761,179,1.0,0.08803820610046387
719:19-02-2021:0,21,0.0,0.003145933151245117
78:19-11-2020:0,7,0.5,0.002380847930908203
614:11-03-2020:0,8,0.5,0.0022237300872802734
373:13-04-2021:0,2,0.5,0.0021848678588867188
32:02-06-2020:0,25,0.0,0.002950429916381836
576:02-08-2020:0,2,0.5,0.002181529998779297
981:07-06-2021:1,1,0.5,0.002171039581298828
35+934,192,1.0,0.11187005043029785
45:06-04-2020:0,3,0.5,0.002542257308959961
982:12-06-2021:1,10,0.0,0.0024209022521972656
653:10-08-2020:0,48,0.0,0.005062103271484375
799:21-06-2021:1,8,0.0,0.002279043197631836
356:14-01-2021:0,2,0.5,0.002155780792236328
718:20-06-2021:0,9,0.0,0.0022623538970947266
397:01-10-2020:0,9,0.5,0.0022411346435546875
221:06-02-2021:0,3,0.5,0.002138376235961914
965:17-06-2021:1,2,0.5,0.002170562744140625
73:25-06-2021:0,7,0.0,0.0022547245025634766
