,mixed,sample_name,1_count_neighbours,1_mean,1_sd,1_percentile_5,1_percentile_25,1_percentile_50,1_percentile_75,1_percentile_95,1_neighbours_snp_0,1_neighbours_snp_1,1_neighbours_snp_2,1_neighbours_snp_3,1_neighbours_snp_4,1_neighbours_snp_5,1_neighbours_snp_6,1_neighbours_snp_7,1_neighbours_snp_8,1_neighbours_snp_9,1_neighbours_snp_10,1_neighbours_snp_11,1_neighbours_snp_12,1_neighbours_snp_13,1_neighbours_snp_14,1_neighbours_snp_15,2_count_neighbour_matrix,2_mean,2_sd,2_percentile_5,2_percentile_25,2_percentile_50,2_percentile_75,2_percentile_95,2_neighbours_snp_0,2_neighbours_snp_1,2_neighbours_snp_2,2_neighbours_snp_3,2_neighbours_snp_4,2_neighbours_snp_5,2_neighbours_snp_6,2_neighbours_snp_7,2_neighbours_snp_8,2_neighbours_snp_9,2_neighbours_snp_10,2_neighbours_snp_11,2_neighbours_snp_12,2_neighbours_snp_13,2_neighbours_snp_14,2_neighbours_snp_15,2_sample_vertex_betweenness
0,False,820:14-11-2020:1,247,4.623481781376518,2.659530955091423,0.0,2.0,5.0,7.0,8.0,22.0,42.0,64.0,89.0,112.0,139.0,165.0,201.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,30628,7.697792869269949,4.3463932541044725,1.0,4.0,8.0,11.0,15.0,1325.0,2748.0,4292.0,6015.0,7962.0,10193.0,12515.0,15000.0,17514.0,19877.0,22049.0,24062.0,25806.0,27285.0,28479.0,29531.0,0.0
1,False,293:17-04-2021:0,31,6.225806451612903,1.647415701826244,4.0,6.0,6.0,7.0,8.0,1.0,1.0,1.0,1.0,4.0,5.0,18.0,24.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,496,4.594758064516129,3.4999412321091423,0.0,1.0,4.0,7.0,10.25,50.0,125.0,195.0,236.0,259.0,285.0,329.0,378.0,427.0,452.0,471.0,479.0,486.0,493.0,496.0,496.0,0.0
2,False,309:03-08-2020:0,94,4.968085106382978,2.416129169709689,2.0,3.0,5.0,7.0,8.0,3.0,4.0,18.0,33.0,43.0,52.0,61.0,71.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,4465,6.3973124300111985,4.304420909986798,0.0,3.0,6.0,10.0,15.0,239.0,547.0,983.0,1437.0,1788.0,2109.0,2488.0,2788.0,3066.0,3317.0,3585.0,3820.0,4005.0,4120.0,4235.0,4349.0,0.0
3,False,508:19-01-2021:0,152,5.1381578947368425,2.4765104217313283,0.0,4.0,6.0,7.0,8.0,11.0,19.0,27.0,36.0,51.0,74.0,97.0,120.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,11628,7.9033367733058135,4.509895187242562,0.0,4.0,8.0,12.0,14.0,778.0,1447.0,2000.0,2535.0,3031.0,3700.0,4349.0,5144.0,5895.0,6644.0,7495.0,8475.0,9571.0,10503.0,11100.0,11486.0,0.09454343006443247
4,False,646:27-12-2020:0,27,6.111111111111111,1.6251232694862383,4.0,4.5,6.0,8.0,8.0,0.0,0.0,0.0,1.0,7.0,8.0,16.0,19.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,378,3.894179894179894,2.1982433279383455,0.0,2.0,4.0,6.0,8.0,31.0,47.0,118.0,151.0,247.0,277.0,333.0,348.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,0.0
5,False,899:31-01-2021:1,68,5.367647058823529,2.5150556313523547,1.0,3.0,6.0,8.0,8.0,1.0,5.0,12.0,20.0,27.0,32.0,36.0,46.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,2346,4.724211423699915,3.197851410287001,0.0,2.0,5.0,8.0,9.0,381.0,546.0,699.0,861.0,1081.0,1305.0,1479.0,1742.0,2044.0,2244.0,2341.0,2346.0,2346.0,2346.0,2346.0,2346.0,0.0
6,False,172:19-12-2020:0,30,5.766666666666667,2.079179767539865,3.0,4.0,6.0,8.0,8.0,0.0,1.0,1.0,6.0,10.0,11.0,17.0,21.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,465,4.120430107526881,2.307809041760066,1.0,2.0,4.0,5.0,8.0,15.0,50.0,127.0,209.0,280.0,351.0,379.0,421.0,445.0,457.0,465.0,465.0,465.0,465.0,465.0,465.0,0.0
7,False,261:31-03-2021:0,38,4.315789473684211,2.3145283000598833,1.0,2.0,4.0,6.0,8.0,0.0,4.0,11.0,15.0,23.0,24.0,31.0,32.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,741,4.337381916329285,2.421651915788086,1.0,2.0,4.0,6.0,8.0,32.0,84.0,202.0,284.0,420.0,491.0,601.0,647.0,711.0,726.0,739.0,741.0,741.0,741.0,741.0,741.0,0.0
8,False,380:09-11-2020:0,170,5.352941176470588,2.421334574316336,0.0,4.0,6.0,7.0,8.0,12.0,22.0,25.0,36.0,49.0,68.0,98.0,140.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,14535,6.569728242174063,4.771776979340501,0.0,3.0,6.0,10.0,15.0,1181.0,2472.0,3596.0,4677.0,5783.0,6985.0,8032.0,8945.0,9796.0,10567.0,11187.0,11723.0,12240.0,12807.0,13378.0,13894.0,0.0
9,True,848+421,320,3.93125,2.857365502968575,0.0,1.0,4.0,7.0,8.0,55.0,86.0,128.0,150.0,174.0,201.0,235.0,273.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,51360,9.828699376947041,5.1854092746431695,1.0,6.0,10.0,14.0,18.0,1517.0,3091.0,4831.0,6724.0,8827.0,11353.0,14163.0,17446.0,21167.0,24726.0,28258.0,31859.0,35132.0,38134.0,40904.0,43510.0,0.7231486680441763
