,mixed,sample_name,1_count_neighbours,1_mean,1_sd,1_percentile_5,1_percentile_25,1_percentile_50,1_percentile_75,1_percentile_95,1_neighbours_snp_0,1_neighbours_snp_1,1_neighbours_snp_2,1_neighbours_snp_3,1_neighbours_snp_4,1_neighbours_snp_5,1_neighbours_snp_6,1_neighbours_snp_7,1_neighbours_snp_8,1_neighbours_snp_9,1_neighbours_snp_10,1_neighbours_snp_11,1_neighbours_snp_12,1_neighbours_snp_13,1_neighbours_snp_14,1_neighbours_snp_15,2_count_neighbour_matrix,2_mean,2_sd,2_percentile_5,2_percentile_25,2_percentile_50,2_percentile_75,2_percentile_95,2_neighbours_snp_0,2_neighbours_snp_1,2_neighbours_snp_2,2_neighbours_snp_3,2_neighbours_snp_4,2_neighbours_snp_5,2_neighbours_snp_6,2_neighbours_snp_7,2_neighbours_snp_8,2_neighbours_snp_9,2_neighbours_snp_10,2_neighbours_snp_11,2_neighbours_snp_12,2_neighbours_snp_13,2_neighbours_snp_14,2_neighbours_snp_15,2_sample_vertex_betweenness
0,False,820:14-11-2020:1,287,5.2334494773519165,2.8964403551307845,0.0,3.0,6.0,8.0,9.0,22.0,42.0,64.0,89.0,112.0,139.0,165.0,201.0,247.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,41328,8.78189121176926,4.693906932974022,1.0,5.0,9.0,12.0,17.0,1372.0,2885.0,4564.0,6387.0,8477.0,10979.0,13622.0,16732.0,19937.0,23034.0,26064.0,28889.0,31487.0,33798.0,35878.0,37552.0,0.0
1,False,293:17-04-2021:0,36,6.611111111111111,1.8091478306141466,4.0,6.0,6.5,8.0,9.0,1.0,1.0,1.0,1.0,4.0,5.0,18.0,24.0,31.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,666,5.141141141141141,3.590868270549645,0.0,2.0,5.0,8.0,11.0,54.0,130.0,203.0,260.0,317.0,369.0,421.0,477.0,538.0,578.0,614.0,634.0,648.0,659.0,664.0,666.0,0.0
2,False,309:03-08-2020:0,120,5.841666666666667,2.710067856551722,2.0,3.0,6.0,8.0,9.0,3.0,4.0,18.0,33.0,43.0,52.0,61.0,71.0,94.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,7260,7.623278236914601,4.684400723262431,1.0,4.0,7.0,11.0,16.0,303.0,640.0,1103.0,1633.0,2112.0,2615.0,3150.0,3875.0,4491.0,4960.0,5336.0,5664.0,5962.0,6229.0,6449.0,6670.0,0.0
3,False,508:19-01-2021:0,178,5.702247191011236,2.665132787444104,0.0,4.0,6.0,8.0,9.0,11.0,19.0,27.0,36.0,51.0,74.0,97.0,120.0,152.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,15931,8.531793358860083,4.81529947339096,0.0,5.0,9.0,13.0,15.0,863.0,1757.0,2487.0,3238.0,3947.0,4783.0,5625.0,6521.0,7403.0,8292.0,9301.0,10449.0,11804.0,13264.0,14433.0,15179.0,0.0849171127409066
4,False,646:27-12-2020:0,36,6.833333333333333,1.889822365046136,4.0,6.0,7.0,8.25,9.0,0.0,0.0,0.0,1.0,7.0,8.0,16.0,19.0,27.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,666,4.857357357357357,2.69654441886848,0.0,3.0,5.0,7.0,9.0,36.0,70.0,156.0,211.0,320.0,401.0,468.0,533.0,592.0,642.0,662.0,666.0,666.0,666.0,666.0,666.0,0.0
5,False,899:31-01-2021:1,94,6.372340425531915,2.688022187541203,1.6500000000000004,4.0,8.0,9.0,9.0,1.0,5.0,12.0,20.0,27.0,32.0,36.0,46.0,68.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,4465,5.2696528555431135,3.7805309703789223,0.0,1.0,6.0,9.0,11.0,688.0,1189.0,1450.0,1679.0,1919.0,2197.0,2477.0,2823.0,3325.0,3808.0,4156.0,4362.0,4444.0,4464.0,4465.0,4465.0,0.0
6,False,172:19-12-2020:0,33,6.0606060606060606,2.192877589199206,3.0,4.0,6.0,8.0,9.0,0.0,1.0,1.0,6.0,10.0,11.0,17.0,21.0,30.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,561,4.372549019607843,2.3789017780202246,1.0,3.0,4.0,6.0,9.0,17.0,54.0,132.0,225.0,311.0,402.0,447.0,496.0,530.0,547.0,557.0,561.0,561.0,561.0,561.0,561.0,0.0
7,False,261:31-03-2021:0,41,4.658536585365853,2.545680224395446,1.0,2.0,4.0,6.0,9.0,0.0,4.0,11.0,15.0,23.0,24.0,31.0,32.0,38.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,861,4.664343786295006,2.5581596205992017,1.0,3.0,4.0,6.0,9.0,32.0,84.0,204.0,302.0,451.0,535.0,653.0,710.0,793.0,836.0,855.0,861.0,861.0,861.0,861.0,861.0,0.0
8,False,380:09-11-2020:0,201,5.91542288557214,2.5880129337531588,0.0,5.0,7.0,8.0,9.0,12.0,22.0,25.0,36.0,49.0,68.0,98.0,140.0,170.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,20301,7.466331707797646,5.1141079750439244,0.0,3.0,7.0,11.0,17.0,1237.0,2646.0,4099.0,5566.0,6941.0,8400.0,9811.0,11159.0,12404.0,13505.0,14477.0,15375.0,16174.0,16946.0,17729.0,18480.0,0.0
9,True,848+421,372,4.639784946236559,3.1808605452101575,0.0,2.0,5.0,8.0,9.0,55.0,86.0,128.0,150.0,174.0,201.0,235.0,273.0,320.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,69378,11.020092824814784,5.536714061375612,2.0,7.0,11.0,15.0,20.0,1610.0,3435.0,5362.0,7448.0,9750.0,12432.0,15382.0,18952.0,23078.0,27695.0,32202.0,36677.0,41236.0,45394.0,49426.0,53183.0,0.6767787504612406
10,False,667:16-02-2021:0,48,4.833333333333333,2.1470745394639152,2.0,3.75,4.0,6.0,9.0,0.0,1.0,6.0,12.0,28.0,32.0,37.0,40.0,44.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,1176,5.50765306122449,2.979066128475318,1.0,3.0,5.0,8.0,10.25,37.0,91.0,217.0,322.0,498.0,606.0,753.0,840.0,955.0,1049.0,1117.0,1158.0,1168.0,1176.0,1176.0,1176.0,0.0
11,False,297:03-09-2020:0,41,7.658536585365853,2.08098241339951,3.0,7.0,8.0,9.0,9.0,1.0,2.0,2.0,3.0,3.0,4.0,6.0,11.0,23.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,861,4.603948896631824,3.229577439015004,0.0,2.0,4.0,8.0,10.0,96.0,197.0,290.0,372.0,436.0,520.0,576.0,637.0,721.0,813.0,849.0,861.0,861.0,861.0,861.0,861.0,0.0
12,False,284:17-02-2021:0,67,5.567164179104478,3.0112107732806854,0.30000000000000027,2.5,6.0,8.5,9.0,4.0,9.0,17.0,19.0,23.0,26.0,35.0,47.0,50.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,2278,6.670324846356453,5.298279647192728,0.0,1.0,6.0,11.0,16.0,349.0,589.0,717.0,827.0,943.0,1036.0,1167.0,1277.0,1401.0,1543.0,1658.0,1795.0,1879.0,1973.0,2060.0,2129.0,0.21744928919876685
13,False,179:07-02-2021:0,125,6.152,2.264936088253037,2.0,5.0,6.0,8.0,9.0,1.0,1.0,12.0,20.0,30.0,43.0,64.0,83.0,102.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,7875,7.054603174603175,4.051398887828847,0.0,4.0,7.0,10.0,13.0,497.0,999.0,1424.0,1822.0,2263.0,2856.0,3447.0,4099.0,4698.0,5290.0,5925.0,6624.0,7208.0,7604.0,7814.0,7875.0,0.0
14,False,100:06-05-2021:0,80,6.0375,2.11949211733449,2.0,5.0,6.0,8.0,9.0,1.0,2.0,5.0,9.0,16.0,34.0,45.0,57.0,68.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,3240,4.66574074074074,2.865999662727799,0.0,2.0,5.0,7.0,9.0,255.0,544.0,859.0,1181.0,1547.0,1957.0,2341.0,2684.0,2933.0,3081.0,3166.0,3215.0,3240.0,3240.0,3240.0,3240.0,0.0
15,False,175:17-03-2021:0,28,5.857142857142857,1.508354161041854,4.0,5.0,6.0,7.0,8.0,0.0,1.0,1.0,1.0,3.0,10.0,20.0,25.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,406,3.4408866995073892,2.6851586985714677,0.0,1.0,3.0,5.0,8.75,48.0,119.0,182.0,231.0,274.0,316.0,350.0,369.0,385.0,397.0,401.0,403.0,406.0,406.0,406.0,406.0,0.0
16,False,537:23-09-2020:0,22,5.909090909090909,3.8036209679110335,0.050000000000000044,1.25,8.5,9.0,9.0,2.0,6.0,7.0,8.0,8.0,8.0,9.0,9.0,11.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,253,5.189723320158103,4.508762755990955,0.0,0.0,5.0,10.0,11.0,72.0,95.0,103.0,117.0,121.0,132.0,142.0,147.0,151.0,172.0,228.0,243.0,253.0,253.0,253.0,253.0,0.0
17,False,342:11-04-2021:0,8,7.5,1.7728105208558367,4.699999999999999,6.75,8.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,36,5.833333333333333,3.3252282413607124,0.0,4.0,6.5,8.0,11.0,6.0,6.0,6.0,6.0,12.0,14.0,18.0,25.0,28.0,32.0,33.0,36.0,36.0,36.0,36.0,36.0,0.0
18,False,612:10-06-2021:0,25,6.2,2.101586702153082,3.2,5.0,6.0,8.0,9.0,0.0,0.0,1.0,2.0,6.0,9.0,16.0,17.0,19.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,325,4.984615384615385,3.0706310310382343,0.0,3.0,5.0,7.0,10.0,31.0,59.0,77.0,100.0,135.0,189.0,227.0,252.0,273.0,303.0,314.0,320.0,325.0,325.0,325.0,325.0,0.0
19,False,723:12-12-2020:0,52,6.288461538461538,2.225842325349043,3.0,5.0,7.0,8.0,9.0,1.0,2.0,2.0,5.0,12.0,18.0,25.0,36.0,40.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,1378,5.170537010159651,2.881957975728528,1.0,3.0,5.0,7.0,10.0,51.0,159.0,263.0,399.0,604.0,778.0,958.0,1068.0,1201.0,1266.0,1330.0,1345.0,1372.0,1373.0,1378.0,1378.0,0.0
20,False,624:02-06-2020:0,17,5.176470588235294,3.2641096434871613,0.8,2.0,5.0,9.0,9.0,1.0,3.0,5.0,6.0,7.0,9.0,11.0,11.0,12.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,153,5.0588235294117645,2.951884532128869,0.0,2.0,5.0,8.0,9.0,12.0,23.0,39.0,50.0,66.0,82.0,95.0,108.0,128.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,0.0
21,False,758:01-05-2021:1,91,7.406593406593407,1.8677260207001691,3.5,7.0,8.0,9.0,9.0,1.0,2.0,2.0,5.0,9.0,11.0,19.0,34.0,62.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,4186,4.2157190635451505,3.138545412829257,0.0,1.0,4.0,7.0,9.0,608.0,1237.0,1613.0,1871.0,2199.0,2585.0,2952.0,3354.0,3748.0,4047.0,4185.0,4186.0,4186.0,4186.0,4186.0,4186.0,0.0
22,False,13:03-02-2021:0,53,7.679245283018868,1.312273202465864,5.0,7.0,8.0,9.0,9.0,0.0,0.0,0.0,1.0,1.0,5.0,8.0,16.0,39.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,1431,3.156533892382949,2.7728625495966073,0.0,1.0,3.0,5.0,8.0,316.0,560.0,677.0,805.0,979.0,1144.0,1243.0,1317.0,1370.0,1395.0,1418.0,1431.0,1431.0,1431.0,1431.0,1431.0,0.0
23,False,341:02-10-2020:0,11,2.6363636363636362,3.7489392439122637,0.0,0.0,1.0,4.5,9.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,66,3.696969696969697,3.818858858832437,0.0,0.0,2.0,8.0,9.75,18.0,30.0,38.0,40.0,43.0,43.0,44.0,48.0,52.0,62.0,64.0,66.0,66.0,66.0,66.0,66.0,0.0
24,False,99:21-03-2021:0,44,4.613636363636363,2.4798341007049296,1.0,3.0,4.5,7.0,9.0,0.0,4.0,9.0,19.0,22.0,31.0,32.0,37.0,39.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,990,5.006060606060606,2.7287118181321737,1.0,3.0,5.0,7.0,10.0,35.0,87.0,209.0,308.0,479.0,570.0,708.0,768.0,871.0,930.0,975.0,984.0,990.0,990.0,990.0,990.0,0.0
25,False,182:18-01-2021:0,108,6.518518518518518,1.9454306948434081,3.0,5.0,7.0,8.0,9.0,0.0,1.0,5.0,8.0,13.0,35.0,49.0,69.0,88.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,5886,4.1681957186544345,3.3152023928326018,0.0,1.0,4.0,6.0,10.0,846.0,1558.0,2212.0,2842.0,3433.0,3983.0,4447.0,4908.0,5265.0,5445.0,5598.0,5711.0,5783.0,5839.0,5886.0,5886.0,0.0
26,False,330:15-12-2020:0,64,6.40625,1.924930425458838,3.0,5.0,7.0,8.0,9.0,0.0,1.0,3.0,5.0,8.0,21.0,30.0,44.0,54.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,2080,7.0673076923076925,3.490837103896956,1.0,4.0,7.0,10.0,12.0,50.0,113.0,261.0,390.0,581.0,739.0,896.0,1054.0,1259.0,1472.0,1676.0,1864.0,1989.0,2076.0,2080.0,2080.0,0.0
27,False,359:26-01-2021:0,116,6.517241379310345,2.168881733984588,2.0,5.0,7.0,8.0,9.0,1.0,2.0,7.0,15.0,22.0,30.0,47.0,73.0,91.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,6786,5.527704096669614,3.9994342199318265,0.0,2.0,5.0,9.0,12.0,769.0,1415.0,2079.0,2579.0,3032.0,3469.0,3965.0,4554.0,5000.0,5495.0,5829.0,6183.0,6469.0,6665.0,6776.0,6786.0,0.0
28,False,722:01-05-2021:0,110,5.336363636363636,2.491369590278167,1.0,3.0,5.0,7.75,9.0,0.0,7.0,15.0,33.0,45.0,57.0,69.0,82.0,95.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,6105,6.696478296478296,3.8653740263515806,0.0,4.0,7.0,9.0,13.0,310.0,653.0,1032.0,1428.0,1848.0,2393.0,2926.0,3528.0,4137.0,4650.0,5085.0,5389.0,5619.0,5800.0,5955.0,6045.0,0.0
29,False,455:17-04-2021:0,48,6.270833333333333,2.10105934104916,3.0,5.0,6.0,8.0,9.0,0.0,2.0,2.0,4.0,10.0,16.0,25.0,33.0,39.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,1176,5.608843537414966,3.688056401840704,0.0,3.0,5.0,8.0,12.0,76.0,181.0,286.0,388.0,501.0,615.0,722.0,809.0,910.0,982.0,1043.0,1097.0,1120.0,1151.0,1165.0,1174.0,0.0
