header,name,epochtime,count_ns_mixture,count_ns_random,count_ns_primer_dropout,mix_parent1,mix_parent2
>1:03-04-2021:0,1,1617404400,0,50,492,,
>2:11-03-2020:0,2,1583884800,0,50,525,,
>3:05-10-2020:0,3,1601852400,0,50,429,,
>4:12-06-2020:0,4,1591916400,0,50,458,,
>5:19-06-2021:0,5,1624057200,0,50,513,,
>6:16-06-2020:0,6,1592262000,0,50,539,,
>7:23-11-2020:0,7,1606089600,0,50,513,,
>8:18-11-2020:0,8,1605657600,0,50,521,,
>9:27-09-2020:0,9,1601161200,0,50,482,,
>10:28-02-2021:0,10,1614470400,0,50,544,,
>11:19-11-2020:0,11,1605744000,0,50,457,,
>12:12-06-2021:0,12,1623452400,0,50,490,,
>13:03-02-2021:0,13,1612310400,0,50,363,,
>14:22-09-2020:0,14,1600729200,0,50,496,,
>15:15-03-2021:0,15,1615766400,0,50,501,,
>16:28-07-2020:0,16,1595890800,0,50,517,,
>17:23-12-2020:0,17,1608681600,0,50,274,,
>18:15-03-2021:0,18,1615766400,0,50,502,,
>19:18-12-2020:0,19,1608249600,0,50,454,,
>20:29-06-2020:0,20,1593385200,0,50,552,,
>21:19-08-2020:0,21,1597791600,0,50,479,,
>22:09-08-2020:0,22,1596927600,0,50,552,,
>23:18-10-2020:0,23,1602975600,0,50,488,,
>24:31-10-2020:0,24,1604102400,0,50,482,,
>25:06-07-2020:0,25,1593990000,0,50,406,,
>26:27-04-2021:0,26,1619478000,0,50,533,,
>27:09-01-2021:0,27,1610150400,0,50,491,,
>28:24-07-2020:0,28,1595545200,0,50,487,,
>29:16-03-2021:0,29,1615852800,0,50,434,,
>30:11-06-2021:0,30,1623366000,0,50,443,,
>31:19-03-2021:0,31,1616112000,0,50,380,,
>32:02-06-2020:0,32,1591052400,0,50,410,,
>33:15-10-2020:0,33,1602716400,0,50,515,,
>34:08-06-2021:0,34,1623106800,0,50,465,,
>35:21-06-2021:0,35,1624230000,0,50,474,,
>36:10-02-2021:0,36,1612915200,0,50,503,,
>37:22-07-2020:0,37,1595372400,0,50,485,,
>38:07-05-2021:0,38,1620342000,0,50,582,,
>39:15-01-2021:0,39,1610668800,0,50,487,,
>40:26-09-2020:0,40,1601074800,0,50,435,,
>41:03-12-2020:0,41,1606953600,0,50,548,,
>42:06-04-2021:0,42,1617663600,0,50,468,,
>43:23-01-2021:0,43,1611360000,0,50,529,,
>44:18-03-2021:0,44,1616025600,0,50,541,,
>45:06-04-2020:0,45,1586127600,0,50,513,,
>46:09-03-2021:0,46,1615248000,0,50,487,,
>47:18-05-2021:0,47,1621292400,0,50,553,,
>48:17-06-2021:0,48,1623884400,0,50,457,,
>49:20-02-2021:0,49,1613779200,0,50,407,,
>50:05-02-2021:0,50,1612483200,0,50,477,,
>51:05-12-2020:0,51,1607126400,0,50,522,,
>52:25-10-2020:0,52,1603580400,0,50,472,,
>53:28-12-2020:0,53,1609113600,0,50,434,,
>54:02-12-2020:0,54,1606867200,0,50,501,,
>55:31-01-2021:0,55,1612051200,0,50,518,,
>56:13-04-2021:0,56,1618268400,0,50,487,,
>57:11-12-2020:0,57,1607644800,0,50,525,,
>58:15-04-2021:0,58,1618441200,0,50,483,,
>59:05-12-2020:0,59,1607126400,0,50,549,,
